bedrooms,halls,size,location,price,bathrooms,balconies,parking_spaces,age_of_property,furnishing,facing_direction,floor_number,total_floors,has_lift,property_type
4,1,1580,Porur,262800.0,1,1,2,25,Fully-furnished,South,11,14,True,Independent House
5,1,1264,Adyar,379440.0,1,0,0,3,Semi-furnished,North,16,16,False,Apartment
3,1,1561,Adyar,336685.0,1,2,0,14,Unfurnished,North,7,9,True,Independent House
5,2,2352,Velachery,431400.0,3,0,1,24,Semi-furnished,East,13,16,True,Independent House
5,1,2154,Tambaram,348010.0,1,1,2,5,Semi-furnished,North,11,14,True,Villa
2,1,1456,Porur,207360.0,1,1,0,4,Unfurnished,South,1,12,False,Villa
3,1,2512,Nungambakkam,442080.0,3,1,2,27,Fully-furnished,North,14,17,True,Villa
3,2,2918,Mylapore,469030.0,2,2,1,6,Fully-furnished,West,7,10,False,Independent House
3,2,1714,Adyar,366690.0,1,0,2,28,Semi-furnished,East,4,19,True,Independent House
5,2,2715,Adyar,519775.0,1,1,1,18,Semi-furnished,East,12,15,True,Apartment
4,1,2113,Nungambakkam,442170.0,3,0,0,14,Unfurnished,North,5,7,True,Villa
3,1,1020,Anna Nagar,273600.0,3,1,0,10,Unfurnished,West,19,20,False,Villa
5,1,2493,Velachery,426975.0,1,2,2,24,Unfurnished,East,1,3,False,Villa
2,1,2334,Adyar,368390.0,1,2,2,27,Fully-furnished,South,2,17,False,Apartment
4,1,1340,T Nagar,331200.0,3,1,0,0,Semi-furnished,North,13,17,False,Villa
2,2,1191,Guindy,254325.0,1,1,1,14,Unfurnished,West,3,16,True,Independent House
4,1,2939,Adyar,487815.0,2,0,2,18,Fully-furnished,East,9,12,False,Independent House
5,2,2131,Anna Nagar,442480.0,1,0,0,2,Fully-furnished,North,20,20,False,Independent House
1,2,1137,Guindy,220275.0,2,2,2,6,Fully-furnished,South,1,20,True,Villa
4,2,2420,Mylapore,460700.0,3,2,1,15,Unfurnished,South,15,20,False,Apartment
2,1,2905,Velachery,367875.0,2,1,1,27,Unfurnished,East,12,18,False,Independent House
5,1,2908,Velachery,458100.0,1,2,0,7,Fully-furnished,West,17,20,True,Apartment
4,2,1072,Porur,244320.0,2,0,0,25,Unfurnished,South,17,19,False,Independent House
1,2,2182,Mylapore,338470.0,1,1,2,27,Unfurnished,South,18,19,True,Villa
1,2,2162,Adyar,336770.0,3,0,1,12,Semi-furnished,North,9,10,False,Villa
3,2,1663,Mylapore,362355.0,3,2,0,5,Unfurnished,South,19,20,False,Independent House
3,2,1137,T Nagar,298960.0,3,2,0,21,Unfurnished,North,17,17,True,Villa
2,1,2511,Nungambakkam,405990.0,2,0,1,14,Fully-furnished,West,16,20,False,Independent House
4,2,1831,Velachery,362325.0,1,2,2,6,Fully-furnished,North,16,18,True,Villa
4,2,1081,Sholinganallur,285670.0,2,2,1,27,Unfurnished,East,9,12,True,Villa
3,1,2704,Mylapore,433840.0,1,1,1,9,Semi-furnished,South,19,19,True,Apartment
4,2,2221,T Nagar,417680.0,3,0,1,1,Fully-furnished,East,18,18,False,Independent House
4,2,2760,T Nagar,460800.0,1,1,0,12,Unfurnished,East,1,12,False,Villa
1,2,2479,Adyar,363715.0,1,0,2,20,Unfurnished,West,9,15,True,Apartment
3,2,2050,T Nagar,372000.0,2,1,1,19,Fully-furnished,North,3,13,False,Villa
5,1,1857,Porur,303420.0,1,2,1,24,Unfurnished,North,12,16,False,Independent House
3,1,2819,Mylapore,443615.0,3,1,0,23,Semi-furnished,West,3,11,True,Independent House
5,2,1963,Tambaram,348595.0,3,2,2,12,Semi-furnished,East,14,18,False,Villa
1,2,2839,Anna Nagar,371120.0,2,1,0,29,Semi-furnished,East,16,18,True,Villa
2,2,2108,Anna Nagar,344640.0,2,0,2,0,Fully-furnished,South,16,17,False,Independent House
4,2,2583,Velachery,418725.0,1,0,2,1,Fully-furnished,North,16,19,False,Independent House
1,1,2178,Velachery,283350.0,2,0,1,16,Fully-furnished,North,8,17,True,Independent House
4,1,1448,Anna Nagar,339840.0,3,1,2,6,Semi-furnished,North,3,13,True,Apartment
2,1,1754,Tambaram,244010.0,1,1,2,7,Unfurnished,North,20,20,True,Independent House
2,2,2118,Nungambakkam,388620.0,3,1,0,23,Fully-furnished,North,15,16,False,Independent House
1,1,2826,Mylapore,376210.0,2,2,1,18,Fully-furnished,South,12,13,False,Independent House
2,2,2681,Nungambakkam,439290.0,1,1,2,2,Unfurnished,West,2,18,False,Independent House
5,2,1655,Guindy,379125.0,1,1,0,26,Semi-furnished,East,19,19,False,Villa
2,1,1385,Tambaram,220025.0,3,1,1,22,Semi-furnished,West,15,15,True,Independent House
4,2,2338,Nungambakkam,480420.0,3,1,2,17,Unfurnished,North,3,6,True,Independent House
4,1,2738,Anna Nagar,443040.0,2,1,1,25,Fully-furnished,South,16,16,True,Villa
4,1,2104,Guindy,367800.0,1,1,2,14,Fully-furnished,North,11,16,True,Independent House
4,2,2163,T Nagar,413040.0,2,2,1,29,Fully-furnished,West,10,15,False,Apartment
5,1,1241,Guindy,333075.0,2,0,1,13,Unfurnished,North,7,9,True,Apartment
3,2,1191,Mylapore,322235.0,1,0,0,5,Fully-furnished,South,8,10,True,Villa
1,2,2711,Adyar,383435.0,3,0,2,6,Semi-furnished,South,15,20,False,Independent House
4,1,900,Anna Nagar,296000.0,1,1,0,5,Semi-furnished,North,19,20,False,Independent House
