ID,CITY,ADDRESS,BEDS,BATHS,HALF_BATH,SQ_FT,STYLE,FLOORS,RECENT_PRICE,LAT,LONG,NEIGHBORHOOD
0,Erode,2148 3rd Ave,1,2,1,3621,Traditional,1,460258,9.807323867139134,79.4434403340674,Suburb
1,Tiruchirappalli,4880 Main St,5,1,0,2062,Victorian,1,632450,9.567022889038396,80.48505874108064,Uptown
2,Thanjavur,8039 2nd St,2,2,0,871,Modern,2,999662,10.630560171310737,77.06178971093232,Suburb
3,Sivakasi,4644 Main St,2,2,0,4316,Victorian,2,666379,8.993501838677235,78.74293742737323,Suburb
4,Dindigul,3519 3rd Ave,1,1,0,4380,Traditional,3,838340,10.67096903717669,77.89709367296763,Suburb
5,Vellore,7339 3rd Ave,4,1,1,1068,Contemporary,2,217194,11.872965559070794,78.55452916159535,Uptown
6,Thanjavur,349 2nd St,5,3,1,2576,Modern,1,621022,8.163847772179421,78.66395843190097,Industrial
7,Salem,870 3rd Ave,3,3,0,3262,Modern,2,262333,8.05378659168169,79.98668385914655,Residential Area
8,Erode,4463 Main St,1,1,0,2068,Contemporary,3,712080,8.4131760058498,77.37528748958178,Downtown
9,Kanyakumari,1177 Park Blvd,4,1,0,1815,Victorian,3,195807,10.946130339504617,79.05033561253005,Industrial
10,Madurai,8680 2nd St,3,1,1,3522,Ranch,1,667513,12.69950295751972,79.25677916719498,Uptown
11,Erode,8001 3rd Ave,2,2,0,1883,Victorian,1,537410,8.026864563111385,78.97663041420722,Downtown
12,Dindigul,6644 Park Blvd,2,2,0,4901,Traditional,3,810501,13.151637175215745,79.92749301225088,Downtown
13,Dindigul,2914 3rd Ave,3,2,1,1206,Ranch,3,659698,8.584531813637946,78.53516502362739,Downtown
14,Vellore,1352 Main St,1,1,1,3876,Victorian,3,778580,12.630909404320246,80.7798682545603,Residential Area
15,Salem,4773 3rd Ave,2,3,0,1785,Contemporary,1,797272,10.655701207406207,78.92721377015576,Historic District
16,Tiruchirappalli,4630 3rd Ave,5,1,1,4403,Traditional,3,688065,11.626465630033643,79.28485563845919,Uptown
