Date,Predicted Price,Estimated Low Range,Estimated High Range
2024-09-30,371892.7822290032,365948.39633292105,377615.06796967855
2024-10-31,363039.26527926436,356951.5488524637,368901.07984446024
2024-11-30,371626.1061799476,365542.45278609317,378097.5599284365
2024-12-31,366653.3845299265,360847.9994613974,372914.05940349586
2025-01-31,352632.03788255434,346169.05243370647,359346.4285941196
2025-02-28,365462.508088162,358672.678994898,372175.1379086146
2025-03-31,368119.8674200241,360903.5666789296,375034.44237290346
2025-04-30,369494.80529632035,361909.99187634245,377154.6175296434
2025-05-31,373499.3373644241,365176.7383003656,381679.6257631081
2025-06-30,372570.5292432528,363173.97261111607,381581.81511486234
2025-07-31,369970.75483142334,359117.4174685216,379148.16736825684
2025-08-31,374317.72740923485,362525.3432630879,385777.5402686832
