Date,Predicted Price,Estimated Low Range,Estimated High Range
2024-09-30,376801.88872835995,372976.2207331707,380464.8115408466
2024-10-31,372114.52336323075,368292.20642558846,375798.7726249159
2024-11-30,369901.8609869164,365758.5546969773,373788.0851277289
2024-12-31,366500.8654338905,362394.6697762208,370806.83301660116
2025-01-31,365416.7821799293,360937.5700901589,369871.095153791
2025-02-28,372926.94415716256,367695.1574403215,378368.0585854534
2025-03-31,376823.4262586806,370625.8229757568,382767.5043894455
2025-04-30,374019.3362569605,366770.61546572915,381417.72487476555
2025-05-31,383339.5917248564,374718.7389750924,392004.8964717451
2025-06-30,386343.7252713756,376424.0997889327,396589.08620682766
2025-07-31,386554.75624999794,374931.70566047705,397998.32609525474
2025-08-31,380561.67607919336,367184.557881183,393492.7444287099
