date,sales_count
2019-01-31,13
2019-02-28,17
2019-03-31,29
2019-04-30,18
2019-05-31,25
2019-06-30,26
2019-07-31,26
2019-08-31,25
2019-09-30,22
2019-10-31,37
2019-11-30,30
2019-12-31,38
2020-01-31,25
2020-02-29,28
2020-03-31,31
2020-04-30,31
2020-05-31,20
2020-06-30,22
2020-07-31,27
2020-08-31,25
2020-09-30,31
2020-10-31,20
2020-11-30,21
2020-12-31,29
2021-01-31,23
2021-02-28,24
2021-03-31,29
2021-04-30,30
2021-05-31,44
2021-06-30,41
2021-07-31,36
2021-08-31,50
2021-09-30,51
2021-10-31,48
2021-11-30,36
2021-12-31,40
2022-01-31,30
2022-02-28,42
2022-03-31,42
2022-04-30,38
2022-05-31,53
2022-06-30,43
2022-07-31,38
2022-08-31,44
2022-09-30,39
2022-10-31,45
2022-11-30,32
2022-12-31,23
2023-01-31,24
2023-02-28,30
2023-03-31,40
2023-04-30,29
2023-05-31,44
2023-06-30,36
2023-07-31,32
2023-08-31,44
2023-09-30,32
2023-10-31,27
2023-11-30,24
2023-12-31,19
2024-01-31,33
2024-02-29,26
2024-03-31,28
2024-04-30,35
2024-05-31,41
2024-06-30,34
2024-07-31,50
2024-08-31,29
2024-09-30,40
2024-10-31,33
2024-11-30,16
2024-12-31,33
2025-01-31,21
2025-02-28,26
2025-03-31,34
2025-04-30,31
2025-05-31,32
2025-06-30,34
2025-07-31,35
2025-08-31,30
